benchmark_id,strategy,query,difficulty,retrieval_challenge,precision_at_k,recall_at_k,hit,reciprocal_rank,map_at_k,r_precision,ndcg_at_k,latency_ms,predicted_intent,expected_intent,intent_correct,predicted_category,expected_category,category_correct,relevant_note_ids,retrieved_note_ids,error
1,semantic,What startup ideas do I have?,easy,,0.2,0.3333,True,1.0,0.3333,0.3333,0.4693,33.35,,idea,,,Ideas,,"85,86,87","85,525,617,134,441",
2,semantic,Show my AI research reading goals,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.99,,study,,,Study Tasks,,"65,64,66,67","529,617,416,85,230",
3,semantic,How can I improve my health?,medium,,0.4,1.0,True,1.0,0.8333,0.5,0.9197,2.01,,todo,,,To Do,,"83,84","84,109,83,79,286",
4,semantic,Show my finance reminders,easy,,0.4,1.0,True,0.3333,0.4167,0.0,0.5706,1.33,,todo,,,To Do,,"77,82","216,312,82,77,393",
5,semantic,Evaluation report work,medium,,0.2,0.5,True,0.5,0.25,0.5,0.3869,2.19,,reference,,,Reference Notes,,"90,89","616,90,485,453,375",
6,semantic,Markdown support,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,2.02,,reference,,,Reference Notes,,"72,73,74,75","558,568,492,582,96",
7,semantic,Improve search latency,easy,,0.2,0.5,True,1.0,0.5,0.5,0.6131,1.56,,reference,,,Reference Notes,,"93,89","93,402,195,333,86",
8,semantic,Attachment upload feature,easy,,0.2,1.0,True,1.0,1.0,1.0,1.0,1.46,,reference,,,Reference Notes,,94,"94,642,492,96,432",
9,semantic,Flutter improvements,easy,,0.4,1.0,True,1.0,1.0,1.0,1.0,1.12,,reference,,,Reference Notes,,"97,98","98,97,93,372,564",
10,semantic,Networking concepts,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,1.0,,study,,,Study Tasks,,"71,62","922,722,491,822,1022",
11,semantic,Object oriented programming revision,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.91,,study,,,Study Tasks,,"59,60","163,414,227,193,679",
12,semantic,Interview preparation,medium,,0.2,0.5,True,0.25,0.125,0.0,0.2641,0.89,,study,,,Study Tasks,,"70,99","352,100,360,70,609",
13,semantic,Portfolio website,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,1.55,,todo,,,To Do,,"100,97","951,266,751,851,1051",
14,semantic,Documentation tasks,easy,,0.2,0.5,True,0.5,0.25,0.5,0.3869,1.11,,todo,,,To Do,,"96,95","110,96,485,87,583",
15,semantic,Deploy KnowledgeVault,easy,,0.2,1.0,True,1.0,1.0,1.0,1.0,1.59,,todo,,,To Do,,91,"91,89,90,95,125",
16,semantic,Update GitHub README,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,1.14,,todo,,,To Do,,96,"440,501,395,522,400",
17,semantic,Resume preparation,easy,,0.2,1.0,True,1.0,1.0,1.0,1.0,2.25,,todo,,,To Do,,100,"100,525,142,185,523",
18,semantic,Weekend trip,easy,,0.2,1.0,True,0.5,0.5,0.0,0.6309,2.78,,todo,,,To Do,,81,"77,81,128,407,190",
