benchmark_id,strategy,query,difficulty,precision_at_k,recall_at_k,hit,reciprocal_rank,latency_ms,predicted_intent,expected_intent,intent_correct,predicted_category,expected_category,category_correct,relevant_note_ids,retrieved_note_ids,error
1,semantic,What startup ideas do I have?,easy,0.2,0.3333,True,1.0,18.11,,idea,,,Ideas,,"85,86,87","85,525,617,134,441",
2,semantic,Show my AI research reading goals,easy,0.0,0.0,False,0.0,1.78,,study,,,Study Tasks,,"65,64,66,67","529,617,416,85,230",
3,semantic,How can I improve my health?,medium,0.4,1.0,True,1.0,1.49,,todo,,,To Do,,"83,84","84,109,83,79,286",
4,semantic,Show my finance reminders,easy,0.4,1.0,True,0.3333,1.76,,todo,,,To Do,,"77,82","216,312,82,77,393",
5,semantic,Evaluation report work,medium,0.2,0.5,True,0.5,1.59,,reference,,,Reference Notes,,"90,89","616,90,485,453,375",
6,semantic,Markdown support,easy,0.0,0.0,False,0.0,1.45,,reference,,,Reference Notes,,"72,73,74,75","558,568,492,582,96",
7,semantic,Improve search latency,easy,0.2,0.5,True,1.0,1.44,,reference,,,Reference Notes,,"93,89","93,402,195,333,86",
8,semantic,Attachment upload feature,easy,0.2,1.0,True,1.0,1.77,,reference,,,Reference Notes,,94,"94,642,492,96,432",
9,semantic,Flutter improvements,easy,0.4,1.0,True,1.0,1.53,,reference,,,Reference Notes,,"97,98","98,97,93,372,564",
10,semantic,Networking concepts,easy,0.0,0.0,False,0.0,1.59,,study,,,Study Tasks,,"71,62","922,722,491,822,1022",
11,semantic,Object oriented programming revision,easy,0.0,0.0,False,0.0,1.47,,study,,,Study Tasks,,"59,60","163,414,227,193,679",
12,semantic,Interview preparation,medium,0.2,0.5,True,0.25,1.51,,study,,,Study Tasks,,"70,99","352,100,360,70,609",
13,semantic,Portfolio website,easy,0.0,0.0,False,0.0,1.26,,todo,,,To Do,,"100,97","951,266,751,851,1051",
14,semantic,Documentation tasks,easy,0.2,0.5,True,0.5,1.47,,todo,,,To Do,,"96,95","110,96,485,87,583",
15,semantic,Deploy KnowledgeVault,easy,0.2,1.0,True,1.0,1.44,,todo,,,To Do,,91,"91,89,90,95,125",
16,semantic,Update GitHub README,easy,0.0,0.0,False,0.0,1.51,,todo,,,To Do,,96,"440,501,395,522,400",
17,semantic,Resume preparation,easy,0.2,1.0,True,1.0,1.41,,todo,,,To Do,,100,"100,525,142,185,523",
18,semantic,Weekend trip,easy,0.2,1.0,True,0.5,1.73,,todo,,,To Do,,81,"77,81,128,407,190",
19,semantic,Bills to pay,medium,0.4,1.0,True,1.0,1.73,,todo,,,To Do,,"77,82","77,341,82,393,368",
20,semantic,Doctor appointment,easy,0.4,1.0,True,0.5,1.79,,todo,,,To Do,,"78,79","559,79,198,601,78",
21,semantic,Shopping list,medium,0.2,1.0,True,0.25,1.34,,todo,,,To Do,,76,"393,606,322,76,475",
22,semantic,Things I need to tell Sid,easy,0.8,1.0,True,1.0,1.29,,communication,,,Things to Tell Sid,,"54,55,56,57","54,56,57,55,423",
23,semantic,Next meeting with the design team,medium,0.2,0.5,True,0.25,1.67,,meeting,,,Meetings,,"106,107","57,88,568,106,448",
24,semantic,Project deadline for the alpha release,easy,0.0,0.0,False,0.0,1.76,,project,,,Projects,,"89,91","233,498,453,466,528",
25,semantic,Remind me to call mom,easy,0.2,0.5,True,0.3333,1.54,,todo,,,To Do,,"78,79","382,475,79,312,56",
26,semantic,What is the theory of relativity?,easy,0.0,0.0,False,0.0,1.35,,question,,,Questions,,"103,104,105","489,290,565,225,116",
27,semantic,Ideas for my new blog post,medium,0.2,0.25,True,0.2,1.57,,idea,,,Ideas,,"85,86,87,88","255,555,582,554,86",
28,semantic,How to set up a kubernetes cluster,hard,0.2,1.0,True,1.0,1.64,,study,,,Study Tasks,,62,"62,118,712,812,912",
29,semantic,Things to discuss with Sid at the next meeting,easy,0.6,0.75,True,1.0,1.38,,communication,,,Things to Tell Sid,,"54,55,56,57","57,54,56,423,247",
30,semantic,Study materials for machine learning,medium,0.0,0.0,False,0.0,1.44,,study,,,Study Tasks,,"64,65,66,67","309,528,439,619,357",
31,semantic,Meeting notes from Q3 planning,easy,0.4,1.0,True,0.5,1.28,,meeting,,,Meetings,,"106,107","203,106,87,290,107",
32,semantic,What are the project requirements for KnowledgeVault?,medium,0.4,0.25,True,1.0,1.65,,reference,,,Reference Notes,,"89,90,91,92,93,94,95,96","95,638,125,90,262",
33,semantic,Reminders for next week,medium,0.4,0.4,True,1.0,1.35,,todo,,,To Do,,"76,77,78,79,80","79,56,423,475,77",
34,semantic,Questions to ask during the interview,easy,0.4,1.0,True,0.5,1.28,,question,,,Questions,,"70,99","352,70,154,99,360",
35,semantic,Brainstorming app names,easy,0.2,0.25,True,1.0,1.23,,idea,,,Ideas,,"85,86,87,88","85,97,330,117,568",
36,semantic,Redis and PostgreSQL reference notes,hard,0.4,0.6667,True,1.0,1.32,,reference,,,Reference Notes,,"73,74,58","73,74,269,724,824",
37,semantic,Message to send to Siddhant about backend,medium,0.6,1.0,True,1.0,1.07,,communication,,,Things to Tell Sid,,"56,57,54","56,423,54,55,57",
38,semantic,Study schedule for finals,easy,0.0,0.0,False,0.0,1.4,,study,,,Study Tasks,,"58,59,60,61","198,617,434,601,448",
39,semantic,Sprint planning meeting summary,easy,0.2,0.5,True,1.0,1.54,,meeting,,,Meetings,,"107,106","107,294,466,498,263",
40,semantic,Timeline for the beta launch,medium,0.0,0.0,False,0.0,1.7,,todo,,,To Do,,"89,91","498,466,620,233,553",
41,semantic,Don't forget to buy milk,easy,0.2,1.0,True,1.0,1.91,,todo,,,To Do,,76,"76,322,475,84,286",
42,semantic,How does Redis eviction work?,easy,0.4,0.6667,True,1.0,1.53,,question,,,Questions,,"103,73,61","103,73,673,643,773",
43,semantic,Ideas for improving KnowledgeVault,medium,0.6,0.6,True,1.0,4.2,,idea,,,Ideas,,"86,87,88,89,90","90,125,89,638,88",
44,semantic,Docker commands cheat sheet,easy,0.4,1.0,True,1.0,2.16,,reference,,,Reference Notes,,"72,75","72,75,688,355,788",
45,semantic,Tell Sid about the hackathon,easy,0.4,1.0,True,1.0,1.67,,communication,,,Things to Tell Sid,,"55,54","55,57,54,423,448",
46,semantic,System design interview study,medium,0.4,0.5,True,1.0,1.51,,study,,,Study Tasks,,"70,99,59,60","70,99,360,309,106",
47,semantic,Weekly sync notes,easy,0.0,0.0,False,0.0,1.42,,meeting,,,Meetings,,"106,107","620,372,87,203,631",
