query_id,question,category,difficulty,status,retrieval_only,answer_preview,correctness,groundedness,faithfulness,hallucination,completeness,overall_weighted,recall_at_expected,context_utilisation,retrieved_note_ids,expected_note_ids,retrieval_ms,llm_ms,total_ms,estimated_prompt_tokens,estimated_completion_tokens,estimated_cost_usd,root_cause,error
aq_001,What is the difference between BFS and DFS and when do you use each?,factual_lookup,medium,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.2963,0.0000,"347,668,768,868,968,1068,316,342","158,224,316,332,342,347,545,546,667,668,693,737,767,768,793,837,867,868,893,937,967,968,993,1037,1067,1068,1093",250.00,64687.00,64937.00,397,28,0.00003817,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_002,How does the HNSW index work in pgvector?,factual_lookup,hard,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.0842,0.0000,"66,323,742,842,942,1042,215,681","58,66,104,113,139,168,183,187,188,215,217,228,249,252,280,298,300,323,333,337,367,372,376,396,404,417,430,446,500,523,531,567,590,623,628,648,672,681,683,686,696,704,708,726,730,731,732,742,754,772,781,783,786,796,804,808,826,830,831,832,842,854,872,881,883,886,896,904,908,926,930,931,932,942,954,972,981,983,986,996,1004,1008,1026,1030,1031,1032,1042,1054,1072,1081,1083,1086,1096,1104,1108",3484.00,64750.00,68234.00,368,28,0.00003600,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_003,What is Reciprocal Rank Fusion and how is it used in hybrid search?,factual_lookup,hard,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.2222,0.0000,"518,718,818,918,1018,252,696,796","183,213,228,252,375,381,486,518,523,555,696,702,717,718,729,735,796,802,817,818,829,835,896,902,917,918,929,935,996,1002,1017,1018,1029,1035,1096,1102",62.00,64594.00,64656.00,322,28,0.00003255,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_004,What is the CAP theorem?,factual_lookup,medium,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.0909,0.0000,"580,608,607,753,853,953,1053,233","229,259,292,417,580,608,621,631,690,695,731,790,795,831,890,895,931,990,995,1031,1090,1095",141.00,63656.00,63797.00,486,28,0.00004485,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_005,What is HyDE in the context of RAG systems?,factual_lookup,hard,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,1.0000,0.0000,"531,683,783,883,983,1083,436,197","531,683,783,883,983,1083",94.00,63984.00,64078.00,410,28,0.00003915,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_006,What are the ACID properties in databases?,factual_lookup,easy,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.5000,0.0000,"229,690,790,890,990,1090,321,707","144,156,229,580,608,621,631,690,790,890,990,1090",125.00,64391.00,64516.00,330,28,0.00003315,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_007,What is the difference between a cross-encoder and a bi-encoder?,factual_lookup,hard,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.7273,0.0000,"123,676,776,876,976,1076,67,648","67,119,123,176,386,648,676,776,876,976,1076",78.00,64469.00,64547.00,369,28,0.00003608,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_008,How does consistent hashing work?,factual_lookup,medium,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.0833,0.0000,"334,300,754,854,954,1054,104,587","104,114,135,136,145,148,152,155,166,177,204,210,213,219,220,242,243,251,269,272,278,280,284,292,300,319,333,334,350,352,353,356,387,390,419,424,431,442,451,461,470,473,475,484,489,504,516,517,519,559,561,565,587,603,615,633,641,677,685,695,711,724,729,739,754,755,777,785,795,811,824,829,839,854,855,877,885,895,911,924,929,939,954,955,977,985,995,1011,1024,1029,1039,1054,1055,1077,1085,1095",94.00,65109.00,65203.00,431,28,0.00004073,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_009,What is the difference between RAG retrieval failure modes?,factual_lookup,hard,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.1333,0.0000,"222,310,386,197,485,436,600,492","119,148,197,222,239,268,365,369,386,432,436,446,449,454,470,478,485,487,488,564,569,600,615,623,625,655,682,692,694,730,782,792,794,830,882,892,894,930,982,992,994,1030,1082,1092,1094",94.00,64250.00,64344.00,823,28,0.00007012,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_010,What is token bucket rate limiting?,factual_lookup,medium,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.3478,0.0000,"244,346,150,373,703,803,903,1003","136,150,165,189,244,251,279,346,373,697,703,725,797,803,825,897,903,925,997,1003,1025,1097,1103",109.00,64594.00,64703.00,493,28,0.00004537,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_011,"What is the difference between FIFO, LRU, and Optimal page replacement?",factual_lookup,medium,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.2857,0.0000,"530,738,838,938,1038,520,547,275","117,265,318,336,520,530,562,566,579,710,736,738,810,836,838,910,936,938,1010,1036,1038",94.00,64921.00,65015.00,484,28,0.00004470,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_012,What is the two-phase commit protocol?,factual_lookup,hard,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.5000,0.0000,"479,384,727,827,927,1027,328,344","308,479",63.00,64156.00,64219.00,482,28,0.00004455,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_013,How can I make Python code run faster?,factual_lookup,medium,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.0630,0.0000,"464,745,845,945,1045,108,195,483","98,108,142,159,160,174,177,183,195,196,206,213,221,232,235,239,249,253,255,272,283,284,295,304,310,318,327,333,335,336,349,358,359,366,367,374,375,381,388,396,402,404,406,414,420,445,447,451,464,474,483,530,547,549,552,563,572,579,587,588,595,598,610,617,618,628,633,640,645,651,655,656,657,662,708,716,717,729,732,734,735,736,738,745,756,757,762,808,816,817,829,832,834,835,836,838,845,856,857,862,908,916,917,929,932,934,935,936,938,945,956,957,962,1008,1016,1017,1029,1032,1034,1035,1036,1038,1045,1056,1057,1062,1108",187.00,65079.00,65266.00,428,28,0.00004050,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_014,When should I use Redis over a traditional database?,factual_lookup,medium,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.1081,0.0000,"73,61,269,724,824,924,1024,421","61,73,92,103,124,146,157,174,237,246,269,275,284,295,297,303,305,318,346,392,421,431,433,450,466,467,484,503,520,523,534,536,544,579,602,643,644,671,673,684,705,706,724,736,746,771,773,784,805,806,824,836,846,871,873,884,905,906,924,936,946,971,973,984,1005,1006,1024,1036,1046,1071,1073,1084,1105,1106",47.00,64375.00,64422.00,392,28,0.00003780,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_015,What are good strategies for preparing for technical interviews?,factual_lookup,easy,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.1176,0.0000,"352,236,507,100,609,360,199,357","60,70,99,117,126,145,152,154,187,192,199,224,230,236,263,267,271,288,294,305,309,316,344,346,352,360,387,392,399,413,453,468,480,499,507,521,540,546,580,582,602,609,611,615,619,654,660,760,860,960,1060",109.00,64516.00,64625.00,766,28,0.00006585,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_016,What makes a good software engineer?,factual_lookup,hard,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.2051,0.0000,"586,603,272,416,390,277,166,685","73,114,155,166,199,213,236,272,277,299,319,337,371,390,416,419,428,461,480,586,603,665,685,728,729,765,785,828,829,865,885,928,929,965,985,1028,1029,1065,1085",78.00,64656.00,64734.00,720,28,0.00006240,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
