pool,benchmark_id,query,difficulty,hit,rr_k5,rr_full,precision,recall,map,ndcg,latency_ms
5,1,What startup ideas do I have?,easy,1,1.0,1.0,0.2,0.3333,0.3333,0.4693,96.93
5,2,Show my AI research reading goals,easy,0,0.0,0.0,0.0,0.0,0.0,0.0,85.01
5,3,How can I improve my health?,medium,1,1.0,1.0,0.4,1.0,0.8333,0.9197,88.11
5,4,Show my finance reminders,easy,1,0.3333,0.3333,0.4,1.0,0.4167,0.5706,112.67
5,5,Evaluation report work,medium,1,0.5,0.5,0.2,0.5,0.25,0.3869,99.81
5,6,Markdown support,easy,0,0.0,0.0,0.0,0.0,0.0,0.0,120.1
5,7,Improve search latency,easy,1,1.0,1.0,0.2,0.5,0.5,0.6131,99.6
5,8,Attachment upload feature,easy,1,1.0,1.0,0.2,1.0,1.0,1.0,103.33
5,9,Flutter improvements,easy,1,1.0,1.0,0.4,1.0,1.0,1.0,118.98
5,10,Networking concepts,easy,0,0.0,0.0,0.0,0.0,0.0,0.0,97.02
5,11,Object oriented programming revision,easy,0,0.0,0.0,0.0,0.0,0.0,0.0,110.78
5,12,Interview preparation,medium,1,0.25,0.25,0.2,0.5,0.125,0.2641,103.24
5,13,Portfolio website,easy,0,0.0,0.0,0.0,0.0,0.0,0.0,98.35
5,14,Documentation tasks,easy,1,0.5,0.5,0.2,0.5,0.25,0.3869,80.59
5,15,Deploy KnowledgeVault,easy,1,1.0,1.0,0.2,1.0,1.0,1.0,120.16
5,16,Update GitHub README,easy,0,0.0,0.0,0.0,0.0,0.0,0.0,119.67
5,17,Resume preparation,easy,1,1.0,1.0,0.2,1.0,1.0,1.0,95.73
5,18,Weekend trip,easy,1,0.25,0.25,0.2,1.0,0.25,0.4307,96.66
5,19,Bills to pay,medium,1,1.0,1.0,0.4,1.0,0.8333,0.9197,107.84
5,20,Doctor appointment,easy,1,0.5,0.5,0.4,1.0,0.45,0.6241,88.69
5,21,Shopping list,medium,0,0.0,0.0,0.0,0.0,0.0,0.0,98.47
5,22,Things I need to tell Sid,easy,1,1.0,1.0,0.8,1.0,1.0,1.0,90.47
5,23,Next meeting with the design team,medium,1,0.25,0.25,0.2,0.5,0.125,0.2641,82.75
5,24,Project deadline for the alpha release,easy,0,0.0,0.0,0.0,0.0,0.0,0.0,99.47
5,25,Remind me to call mom,easy,1,0.3333,0.3333,0.2,0.5,0.1667,0.3066,78.53
5,26,What is the theory of relativity?,easy,0,0.0,0.0,0.0,0.0,0.0,0.0,86.37
5,27,Ideas for my new blog post,medium,1,0.2,0.2,0.2,0.25,0.05,0.151,79.44
5,28,How to set up a kubernetes cluster,hard,1,1.0,1.0,0.2,1.0,1.0,1.0,89.57
5,29,Things to discuss with Sid at the next meeting,easy,1,1.0,1.0,0.6,0.75,0.75,0.8319,79.53
5,30,Study materials for machine learning,medium,0,0.0,0.0,0.0,0.0,0.0,0.0,85.02
5,31,Meeting notes from Q3 planning,easy,1,0.5,0.5,0.4,1.0,0.45,0.6241,79.65
5,32,What are the project requirements for KnowledgeVault?,medium,1,1.0,1.0,0.4,0.25,0.1875,0.4852,81.7
5,33,Reminders for next week,medium,1,1.0,1.0,0.4,0.4,0.4,0.5531,82.73
5,34,Questions to ask during the interview,easy,1,0.5,0.5,0.4,1.0,0.5,0.6509,74.69
5,35,Brainstorming app names,easy,1,1.0,1.0,0.2,0.25,0.25,0.3904,84.55
5,36,Redis and PostgreSQL reference notes,hard,1,1.0,1.0,0.4,0.6667,0.6667,0.7654,100.11
5,37,Message to send to Siddhant about backend,medium,1,1.0,1.0,0.6,1.0,0.7556,0.8855,100.3
5,38,Study schedule for finals,easy,0,0.0,0.0,0.0,0.0,0.0,0.0,118.47
5,39,Sprint planning meeting summary,easy,1,1.0,1.0,0.2,0.5,0.5,0.6131,132.65
5,40,Timeline for the beta launch,medium,0,0.0,0.0,0.0,0.0,0.0,0.0,111.76
5,41,Don't forget to buy milk,easy,1,1.0,1.0,0.2,1.0,1.0,1.0,115.18
5,42,How does Redis eviction work?,easy,1,1.0,1.0,0.4,0.6667,0.6667,0.7654,90.02
5,43,Ideas for improving KnowledgeVault,medium,1,1.0,1.0,0.6,0.6,0.4533,0.6399,86.85
5,44,Docker commands cheat sheet,easy,1,1.0,1.0,0.4,1.0,1.0,1.0,86.02
5,45,Tell Sid about the hackathon,easy,1,1.0,1.0,0.4,1.0,0.8333,0.9197,87.04
5,46,System design interview study,medium,1,1.0,1.0,0.4,0.5,0.5,0.6367,83.63
