benchmark_id,strategy,query,difficulty,precision_at_k,recall_at_k,hit,reciprocal_rank,latency_ms,predicted_intent,expected_intent,intent_correct,predicted_category,expected_category,category_correct,relevant_note_ids,retrieved_note_ids,error
1,semantic,What startup ideas do I have?,easy,0.2,0.3333,True,1.0,19.93,,idea,,,Ideas,,"85,86,87","85,525,617,134,441",
2,semantic,Show my AI research reading goals,easy,0.0,0.0,False,0.0,1.91,,study,,,Study Tasks,,"65,64,66,67","529,617,416,85,230",
3,semantic,How can I improve my health?,medium,0.4,1.0,True,1.0,1.82,,todo,,,To Do,,"83,84","84,109,83,79,286",
4,semantic,Show my finance reminders,easy,0.4,1.0,True,0.3333,2.44,,todo,,,To Do,,"77,82","216,312,82,77,393",
5,semantic,Evaluation report work,medium,0.2,0.5,True,0.5,1.72,,reference,,,Reference Notes,,"90,89","616,90,485,453,375",
6,semantic,Markdown support,easy,0.0,0.0,False,0.0,2.82,,reference,,,Reference Notes,,"72,73,74,75","558,568,492,582,96",
7,semantic,Improve search latency,easy,0.2,0.5,True,1.0,4.18,,reference,,,Reference Notes,,"93,89","93,402,195,333,86",
8,semantic,Attachment upload feature,easy,0.2,1.0,True,1.0,2.25,,reference,,,Reference Notes,,94,"94,642,492,96,432",
9,semantic,Flutter improvements,easy,0.4,1.0,True,1.0,1.54,,reference,,,Reference Notes,,"97,98","98,97,93,372,564",
10,semantic,Networking concepts,easy,0.0,0.0,False,0.0,1.51,,study,,,Study Tasks,,"71,62","922,722,491,822,1022",
11,semantic,Object oriented programming revision,easy,0.0,0.0,False,0.0,2.73,,study,,,Study Tasks,,"59,60","163,414,227,193,679",
12,semantic,Interview preparation,medium,0.2,0.5,True,0.25,2.21,,study,,,Study Tasks,,"70,99","352,100,360,70,609",
13,semantic,Portfolio website,easy,0.0,0.0,False,0.0,2.37,,todo,,,To Do,,"100,97","951,266,751,851,1051",
14,semantic,Documentation tasks,easy,0.2,0.5,True,0.5,1.66,,todo,,,To Do,,"96,95","110,96,485,87,583",
15,semantic,Deploy KnowledgeVault,easy,0.2,1.0,True,1.0,1.37,,todo,,,To Do,,91,"91,89,90,95,125",
16,semantic,Update GitHub README,easy,0.0,0.0,False,0.0,1.36,,todo,,,To Do,,96,"440,501,395,522,400",
17,semantic,Resume preparation,easy,0.2,1.0,True,1.0,1.21,,todo,,,To Do,,100,"100,525,142,185,523",
18,semantic,Weekend trip,easy,0.2,1.0,True,0.5,1.21,,todo,,,To Do,,81,"77,81,128,407,190",
19,semantic,Bills to pay,medium,0.4,1.0,True,1.0,1.41,,todo,,,To Do,,"77,82","77,341,82,393,368",
20,semantic,Doctor appointment,easy,0.4,1.0,True,0.5,2.43,,todo,,,To Do,,"78,79","559,79,198,601,78",
21,semantic,Shopping list,medium,0.2,1.0,True,0.25,3.92,,todo,,,To Do,,76,"393,606,322,76,475",
22,semantic,Things I need to tell Sid,easy,0.8,1.0,True,1.0,5.39,,communication,,,Things to Tell Sid,,"54,55,56,57","54,56,57,55,423",
23,semantic,Next meeting with the design team,medium,0.2,0.5,True,0.25,2.16,,meeting,,,Meetings,,"106,107","57,88,568,106,448",
24,semantic,Project deadline for the alpha release,easy,0.0,0.0,False,0.0,2.13,,project,,,Projects,,"89,91","233,498,453,466,528",
25,semantic,Remind me to call mom,easy,0.2,0.5,True,0.3333,2.79,,todo,,,To Do,,"78,79","382,475,79,312,56",
26,semantic,What is the theory of relativity?,easy,0.0,0.0,False,0.0,2.55,,question,,,Questions,,"103,104,105","489,290,565,225,116",
27,semantic,Ideas for my new blog post,medium,0.2,0.25,True,0.2,1.84,,idea,,,Ideas,,"85,86,87,88","255,555,582,554,86",
28,semantic,How to set up a kubernetes cluster,hard,0.2,1.0,True,1.0,1.61,,study,,,Study Tasks,,62,"62,118,712,812,912",
29,semantic,Things to discuss with Sid at the next meeting,easy,0.6,0.75,True,1.0,1.56,,communication,,,Things to Tell Sid,,"54,55,56,57","57,54,56,423,247",
30,semantic,Study materials for machine learning,medium,0.0,0.0,False,0.0,1.56,,study,,,Study Tasks,,"64,65,66,67","309,528,439,619,357",
31,semantic,Meeting notes from Q3 planning,easy,0.4,1.0,True,0.5,1.51,,meeting,,,Meetings,,"106,107","203,106,87,290,107",
32,semantic,What are the project requirements for KnowledgeVault?,medium,0.4,0.25,True,1.0,1.4,,reference,,,Reference Notes,,"89,90,91,92,93,94,95,96","95,638,125,90,262",
33,semantic,Reminders for next week,medium,0.4,0.4,True,1.0,1.64,,todo,,,To Do,,"76,77,78,79,80","79,56,423,475,77",
34,semantic,Questions to ask during the interview,easy,0.4,1.0,True,0.5,4.24,,question,,,Questions,,"70,99","352,70,154,99,360",
35,semantic,Brainstorming app names,easy,0.2,0.25,True,1.0,5.8,,idea,,,Ideas,,"85,86,87,88","85,97,330,117,568",
36,semantic,Redis and PostgreSQL reference notes,hard,0.4,0.6667,True,1.0,2.06,,reference,,,Reference Notes,,"73,74,58","73,74,269,724,824",
37,semantic,Message to send to Siddhant about backend,medium,0.6,1.0,True,1.0,1.5,,communication,,,Things to Tell Sid,,"56,57,54","56,423,54,55,57",
38,semantic,Study schedule for finals,easy,0.0,0.0,False,0.0,1.76,,study,,,Study Tasks,,"58,59,60,61","198,617,434,601,448",
39,semantic,Sprint planning meeting summary,easy,0.2,0.5,True,1.0,1.77,,meeting,,,Meetings,,"107,106","107,294,466,498,263",
40,semantic,Timeline for the beta launch,medium,0.0,0.0,False,0.0,3.34,,todo,,,To Do,,"89,91","498,466,620,233,553",
41,semantic,Don't forget to buy milk,easy,0.2,1.0,True,1.0,2.32,,todo,,,To Do,,76,"76,322,475,84,286",
42,semantic,How does Redis eviction work?,easy,0.4,0.6667,True,1.0,1.63,,question,,,Questions,,"103,73,61","103,73,673,643,773",
43,semantic,Ideas for improving KnowledgeVault,medium,0.6,0.6,True,1.0,1.49,,idea,,,Ideas,,"86,87,88,89,90","90,125,89,638,88",
44,semantic,Docker commands cheat sheet,easy,0.4,1.0,True,1.0,1.8,,reference,,,Reference Notes,,"72,75","72,75,688,355,788",
45,semantic,Tell Sid about the hackathon,easy,0.4,1.0,True,1.0,1.4,,communication,,,Things to Tell Sid,,"55,54","55,57,54,423,448",
46,semantic,System design interview study,medium,0.4,0.5,True,1.0,4.08,,study,,,Study Tasks,,"70,99,59,60","70,99,360,309,106",
47,semantic,Weekly sync notes,easy,0.0,0.0,False,0.0,3.38,,meeting,,,Meetings,,"106,107","620,372,87,203,631",
48,semantic,Budget and monthly expenses,medium,0.2,0.5,True,1.0,2.74,,todo,,,To Do,,"82,77","82,216,535,281,606",
49,semantic,Health checkup and appointments,easy,0.2,0.3333,True,1.0,5.57,,todo,,,To Do,,"78,79,80","79,601,559,109,475",
50,semantic,What are PostgreSQL index types?,easy,0.2,0.3333,True,1.0,3.29,,question,,,Questions,,"104,74,58","104,417,831,731,931",
1,intent,What startup ideas do I have?,easy,0.2,0.3333,True,1.0,195.32,idea,idea,True,Ideas - AI,Ideas,True,"85,86,87","85,178",
2,intent,Show my AI research reading goals,easy,0.2,0.25,True,1.0,41.16,study,study,True,Study - AI,Study Tasks,True,"65,64,66,67",65,
3,intent,How can I improve my health?,medium,0.0,0.0,False,0.0,34.12,question,todo,False,,To Do,,"83,84",,
4,intent,Show my finance reminders,easy,0.0,0.0,False,0.0,40.19,reminder,todo,False,Reminders,To Do,False,"77,82","557,542,312,84,80",
5,intent,Evaluation report work,medium,0.0,0.0,False,0.0,61.79,general,reference,False,General,Reference Notes,False,"90,89","1093,1078,1077,1067,1059",
6,intent,Markdown support,easy,0.0,0.0,False,0.0,76.61,general,reference,False,General,Reference Notes,False,"72,73,74,75","1093,1078,1077,1067,1059",
7,intent,Improve search latency,easy,0.0,0.0,False,0.0,44.76,general,reference,False,General,Reference Notes,False,"93,89","1093,1078,1077,1067,1059",
8,intent,Attachment upload feature,easy,0.0,0.0,False,0.0,40.98,general,reference,False,General,Reference Notes,False,94,"1093,1078,1077,1067,1059",
9,intent,Flutter improvements,easy,0.0,0.0,False,0.0,43.41,general,reference,False,General,Reference Notes,False,"97,98","1093,1078,1077,1067,1059",
10,intent,Networking concepts,easy,0.0,0.0,False,0.0,41.24,idea,study,False,Ideas - AI,Study Tasks,False,"71,62",85,
11,intent,Object oriented programming revision,easy,0.0,0.0,False,0.0,36.66,study,study,True,,Study Tasks,,"59,60",,
12,intent,Interview preparation,medium,0.0,0.0,False,0.0,42.07,general,study,False,General,Study Tasks,False,"70,99","1093,1078,1077,1067,1059",
13,intent,Portfolio website,easy,0.0,0.0,False,0.0,41.24,general,todo,False,General,To Do,False,"100,97","1093,1078,1077,1067,1059",
14,intent,Documentation tasks,easy,0.2,0.5,True,1.0,37.87,reference,todo,False,Reference - Knowledgevault Backend,To Do,False,"96,95",96,
15,intent,Deploy KnowledgeVault,easy,0.0,0.0,False,0.0,54.43,todo,todo,True,Tasks,To Do,True,91,"1102,1098,1096,1092,1086",
16,intent,Update GitHub README,easy,0.0,0.0,False,0.0,54.73,todo,todo,True,Tasks,To Do,True,96,"1102,1098,1096,1092,1086",
17,intent,Resume preparation,easy,0.0,0.0,False,0.0,42.58,general,todo,False,General,To Do,False,100,"1093,1078,1077,1067,1059",
18,intent,Weekend trip,easy,0.0,0.0,False,0.0,45.06,general,todo,False,General,To Do,False,81,"1093,1078,1077,1067,1059",
19,intent,Bills to pay,medium,0.0,0.0,False,0.0,44.27,todo,todo,True,Bills,To Do,True,"77,82","1035,935,835,735,375",
20,intent,Doctor appointment,easy,0.2,0.5,True,1.0,37.89,reminder,todo,False,Appointments,To Do,True,"78,79","79,557,542,312,84",
21,intent,Shopping list,medium,0.0,0.0,False,0.0,41.41,general,todo,False,General,To Do,False,76,"1093,1078,1077,1067,1059",
22,intent,Things I need to tell Sid,easy,0.4,0.5,True,0.5,47.5,communication,communication,True,Communication - Sid,Things to Tell Sid,True,"54,55,56,57","247,57,54",
23,intent,Next meeting with the design team,medium,0.0,0.0,False,0.0,43.3,event,meeting,False,,Meetings,,"106,107",,
