benchmark_id,strategy,query,difficulty,precision_at_k,recall_at_k,hit,reciprocal_rank,latency_ms,predicted_intent,expected_intent,intent_correct,predicted_category,expected_category,category_correct,relevant_note_ids,retrieved_note_ids,error
1,semantic,What startup ideas do I have?,easy,0.2,0.3333,True,1.0,443.39,,idea,,,Ideas,,"85,86,87","85,525,617,134,441",
2,semantic,Show my AI research reading goals,easy,0.0,0.0,False,0.0,37.33,,study,,,Study Tasks,,"65,64,66,67","529,617,416,85,230",
3,semantic,How can I improve my health?,medium,0.4,1.0,True,1.0,42.97,,todo,,,To Do,,"83,84","84,109,83,79,286",
4,semantic,Show my finance reminders,easy,0.4,1.0,True,0.3333,33.75,,todo,,,To Do,,"77,82","216,312,82,77,393",
5,semantic,Evaluation report work,medium,0.2,0.5,True,0.5,28.54,,reference,,,Reference Notes,,"90,89","616,90,485,453,375",
6,semantic,Markdown support,easy,0.0,0.0,False,0.0,31.43,,reference,,,Reference Notes,,"72,73,74,75","558,568,492,582,96",
7,semantic,Improve search latency,easy,0.2,0.5,True,1.0,31.68,,reference,,,Reference Notes,,"93,89","93,402,195,333,86",
8,semantic,Attachment upload feature,easy,0.2,1.0,True,1.0,27.6,,reference,,,Reference Notes,,94,"94,642,492,96,432",
9,semantic,Flutter improvements,easy,0.4,1.0,True,1.0,27.78,,reference,,,Reference Notes,,"97,98","98,97,93,372,564",
10,semantic,Networking concepts,easy,0.0,0.0,False,0.0,27.62,,study,,,Study Tasks,,"71,62","922,722,491,822,1022",
11,semantic,Object oriented programming revision,easy,0.0,0.0,False,0.0,27.85,,study,,,Study Tasks,,"59,60","163,414,227,193,679",
12,semantic,Interview preparation,medium,0.2,0.5,True,0.25,45.35,,study,,,Study Tasks,,"70,99","352,100,360,70,609",
13,semantic,Portfolio website,easy,0.0,0.0,False,0.0,32.85,,todo,,,To Do,,"100,97","951,266,751,851,1051",
14,semantic,Documentation tasks,easy,0.2,0.5,True,0.5,31.63,,todo,,,To Do,,"96,95","110,96,485,87,583",
15,semantic,Deploy KnowledgeVault,easy,0.2,1.0,True,1.0,32.73,,todo,,,To Do,,91,"91,89,90,95,125",
16,semantic,Update GitHub README,easy,0.0,0.0,False,0.0,34.31,,todo,,,To Do,,96,"440,501,395,522,400",
17,semantic,Resume preparation,easy,0.2,1.0,True,1.0,30.15,,todo,,,To Do,,100,"100,525,142,185,523",
18,semantic,Weekend trip,easy,0.2,1.0,True,0.5,28.25,,todo,,,To Do,,81,"77,81,128,407,190",
19,semantic,Bills to pay,medium,0.4,1.0,True,1.0,31.36,,todo,,,To Do,,"77,82","77,341,82,393,368",
20,semantic,Doctor appointment,easy,0.4,1.0,True,0.5,26.28,,todo,,,To Do,,"78,79","559,79,198,601,78",
21,semantic,Shopping list,medium,0.2,1.0,True,0.25,33.71,,todo,,,To Do,,76,"393,606,322,76,475",
22,semantic,Things I need to tell Sid,easy,0.8,1.0,True,1.0,27.82,,communication,,,Things to Tell Sid,,"54,55,56,57","54,56,57,55,423",
23,semantic,Next meeting with the design team,medium,0.2,0.5,True,0.25,25.29,,meeting,,,Meetings,,"106,107","57,88,568,106,448",
24,semantic,Project deadline for the alpha release,easy,0.0,0.0,False,0.0,50.57,,project,,,Projects,,"89,91","233,498,453,466,528",
25,semantic,Remind me to call mom,easy,0.2,0.5,True,0.3333,45.48,,todo,,,To Do,,"78,79","382,475,79,312,56",
